Input Name,SymPy F5B Time (sec),F5B-Like GPU Time (sec),Matching Results?,Fastest Runtime (sec),Number of Variables,Number of Polynomials,Max Degree
caprasse,204.50996494293213,207.31293630599976,True,204.50996494293213,4,4,3
cyclic_affine_5,4.5423619747161865,4.556337118148804,True,4.5423619747161865,5,5,1
katsura_affine_5,1.4365308284759521,1.3326382637023926,True,1.3326382637023926,5,5,2
chandra_5,1.2876968383789062,1.2227375507354736,True,1.2227375507354736,5,5,2
chemequs_5,4.942947864532471,5.133752346038818,True,4.942947864532471,5,5,2
camera1s,2.0628914833068848,2.0718953609466553,True,2.0628914833068848,6,6,1
original_cyc_4_4_2,3.996896266937256,3.9230029582977295,True,3.9230029582977295,8,8,2
